,unit_id,state,years_and_puborpriv,test_scores_required,state_of_residence_when_admitted,number_students_in_state
0,100654,AL,1,1,1,649
1,100654,AL,1,1,4,1
2,100654,AL,1,1,6,20
3,100654,AL,1,1,8,4
4,100654,AL,1,1,11,8
5,100654,AL,1,1,12,39
6,100654,AL,1,1,13,188
7,100654,AL,1,1,17,178
8,100654,AL,1,1,18,26
9,100654,AL,1,1,21,4
10,100654,AL,1,1,22,7
11,100654,AL,1,1,24,4
12,100654,AL,1,1,26,49
13,100654,AL,1,1,27,3
14,100654,AL,1,1,28,6
15,100654,AL,1,1,29,37
16,100654,AL,1,1,31,1
17,100654,AL,1,1,34,3
18,100654,AL,1,1,36,3
19,100654,AL,1,1,37,7
20,100654,AL,1,1,39,44
21,100654,AL,1,1,41,1
22,100654,AL,1,1,42,4
23,100654,AL,1,1,45,4
24,100654,AL,1,1,46,1
25,100654,AL,1,1,47,68
26,100654,AL,1,1,48,7
27,100654,AL,1,1,49,3
28,100654,AL,1,1,51,9
29,100654,AL,1,1,55,5
30,100654,AL,1,1,57,17
31,100654,AL,1,1,58,1400
32,100654,AL,1,1,98,5
33,100654,AL,1,1,99,1405
34,100663,AL,1,1,1,1917
35,100663,AL,1,1,2,1
36,100663,AL,1,1,4,3
37,100663,AL,1,1,6,8
38,100663,AL,1,1,8,3
39,100663,AL,1,1,9,1
40,100663,AL,1,1,10,2
41,100663,AL,1,1,12,29
42,100663,AL,1,1,13,107
43,100663,AL,1,1,17,25
44,100663,AL,1,1,18,2
45,100663,AL,1,1,20,3
46,100663,AL,1,1,21,5
47,100663,AL,1,1,22,11
48,100663,AL,1,1,25,1
49,100663,AL,1,1,26,7
50,100663,AL,1,1,28,17
51,100663,AL,1,1,29,2
52,100663,AL,1,1,31,1
53,100663,AL,1,1,32,1
54,100663,AL,1,1,33,1
55,100663,AL,1,1,34,2
56,100663,AL,1,1,35,2
57,100663,AL,1,1,36,1
58,100663,AL,1,1,37,4
59,100663,AL,1,1,40,2
60,100663,AL,1,1,41,1
61,100663,AL,1,1,42,4
62,100663,AL,1,1,45,10
63,100663,AL,1,1,47,55
64,100663,AL,1,1,48,32
65,100663,AL,1,1,51,5
66,100663,AL,1,1,53,1
67,100663,AL,1,1,55,3
68,100663,AL,1,1,58,2269
69,100663,AL,1,1,72,1
70,100663,AL,1,1,89,1
71,100663,AL,1,1,90,29
72,100663,AL,1,1,99,2299
73,100706,AL,1,1,1,913
74,100706,AL,1,1,2,1
75,100706,AL,1,1,5,4
76,100706,AL,1,1,6,6
77,100706,AL,1,1,8,5
78,100706,AL,1,1,9,1
79,100706,AL,1,1,12,15
80,100706,AL,1,1,13,33
81,100706,AL,1,1,15,1
82,100706,AL,1,1,17,15
83,100706,AL,1,1,18,9
84,100706,AL,1,1,19,1
85,100706,AL,1,1,21,40
86,100706,AL,1,1,22,5
87,100706,AL,1,1,24,5
88,100706,AL,1,1,27,5
89,100706,AL,1,1,28,19
90,100706,AL,1,1,29,6
91,100706,AL,1,1,32,2
92,100706,AL,1,1,34,2
93,100706,AL,1,1,36,4
94,100706,AL,1,1,37,15
95,100706,AL,1,1,39,16
96,100706,AL,1,1,40,1
97,100706,AL,1,1,42,5
98,100706,AL,1,1,45,23
99,100706,AL,1,1,47,210
100,100706,AL,1,1,48,9
101,100706,AL,1,1,49,1
102,100706,AL,1,1,50,1
103,100706,AL,1,1,51,14
104,100706,AL,1,1,55,3
105,100706,AL,1,1,57,8
106,100706,AL,1,1,58,1398
107,100706,AL,1,1,90,28
108,100706,AL,1,1,98,9
109,100706,AL,1,1,99,1435
110,100724,AL,1,1,1,602
111,100724,AL,1,1,5,1
112,100724,AL,1,1,6,18
113,100724,AL,1,1,9,2
114,100724,AL,1,1,11,2
115,100724,AL,1,1,12,56
116,100724,AL,1,1,13,151
117,100724,AL,1,1,16,1
118,100724,AL,1,1,17,33
119,100724,AL,1,1,18,16
120,100724,AL,1,1,21,1
121,100724,AL,1,1,22,13
122,100724,AL,1,1,24,7
123,100724,AL,1,1,25,1
124,100724,AL,1,1,26,18
125,100724,AL,1,1,27,1
126,100724,AL,1,1,28,16
127,100724,AL,1,1,29,6
128,100724,AL,1,1,32,2
129,100724,AL,1,1,34,1
130,100724,AL,1,1,36,2
131,100724,AL,1,1,37,4
132,100724,AL,1,1,39,24
133,100724,AL,1,1,41,1
134,100724,AL,1,1,42,2
135,100724,AL,1,1,45,3
136,100724,AL,1,1,47,9
137,100724,AL,1,1,48,19
138,100724,AL,1,1,51,1
139,100724,AL,1,1,53,1
140,100724,AL,1,1,54,1
141,100724,AL,1,1,55,9
142,100724,AL,1,1,58,1024
143,100724,AL,1,1,72,3
144,100724,AL,1,1,89,3
145,100724,AL,1,1,90,11
146,100724,AL,1,1,99,1038
147,100751,AL,1,1,1,2271
148,100751,AL,1,1,2,3
149,100751,AL,1,1,4,32
150,100751,AL,1,1,5,21
151,100751,AL,1,1,6,237
152,100751,AL,1,1,8,65
153,100751,AL,1,1,9,88
154,100751,AL,1,1,10,15
155,100751,AL,1,1,12,315
