,unit_id,state,years_and_puborpriv,test_scores_required
0,100654,AL,1,1
1,100663,AL,1,1
2,100706,AL,1,1
3,100724,AL,1,1
4,100751,AL,1,1
5,100830,AL,1,1
6,100858,AL,1,1
7,100937,AL,2,5
8,101189,AL,2,1
9,101365,AL,2,2
10,101435,AL,2,1
11,101480,AL,1,1
12,101541,AL,2,1
13,101587,AL,1,1
14,101648,AL,4,1
15,101693,AL,2,1
16,101709,AL,1,1
17,101879,AL,1,1
18,101912,AL,2,1
19,102049,AL,2,1
20,102094,AL,1,1
21,102234,AL,2,1
22,102270,AL,2,2
23,102368,AL,1,1
24,102377,AL,2,1
25,102553,AK,1,2
26,102614,AK,1,1
27,102632,AK,1,2
28,102669,AK,2,2
29,102845,WA,3,3
30,103893,AZ,6,3
31,103927,AZ,6,3
32,104151,AZ,1,1
33,104179,AZ,1,5
34,104586,AZ,2,5
35,104717,AZ,3,2
36,105330,AZ,1,2
37,105589,AZ,2,5
38,105899,AZ,2,1
39,106245,AR,1,1
40,106342,AR,2,1
41,106397,AR,1,1
42,106412,AR,1,1
43,106458,AR,1,1
44,106467,AR,1,2
45,106546,AR,5,1
46,106704,AR,1,1
47,106713,AR,2,1
48,107044,AR,2,1
49,107071,AR,1,1
50,107080,AR,2,1
51,107141,AR,2,1
52,107512,AR,2,1
53,107558,AR,2,5
54,107585,AR,4,2
55,107877,AR,2,1
56,107983,AR,1,1
57,108852,CA,5,3
58,109086,CA,2,3
59,109651,CA,2,3
60,109785,CA,2,1
61,110097,CA,2,1
62,110361,CA,2,1
63,110370,CA,2,3
64,110404,CA,2,1
65,110413,CA,2,1
66,110422,CA,1,1
67,110468,CA,3,3
68,110486,CA,1,2
69,110495,CA,1,2
70,110510,CA,1,1
71,110529,CA,1,1
72,110538,CA,1,1
73,110547,CA,1,2
74,110556,CA,1,1
75,110565,CA,1,1
76,110574,CA,1,2
77,110583,CA,1,1
78,110592,CA,1,1
79,110608,CA,1,1
80,110617,CA,1,1
81,110635,CA,1,1
82,110644,CA,1,1
83,110653,CA,1,1
84,110662,CA,1,1
85,110671,CA,1,1
86,110680,CA,1,1
87,110705,CA,1,1
88,110714,CA,1,1
89,110918,CA,2,2
90,111081,CA,2,3
91,111188,CA,1,2
92,111638,CA,5,3
93,111948,CA,2,1
94,111966,CA,2,1
95,112075,CA,2,1
96,112084,CA,2,1
97,112260,CA,2,1
98,112394,CA,3,2
99,113537,CA,2,3
100,113582,CA,3,3
101,113698,CA,2,1
102,114354,CA,3,2
103,114390,CA,3,2
104,114415,CA,6,2
105,114813,CA,2,1
106,115409,CA,2,1
107,115728,CA,2,1
108,115755,CA,1,1
109,116712,CA,2,3
110,116846,CA,2,2
111,117104,CA,2,1
112,117140,CA,2,1
113,117168,CA,2,2
114,117627,CA,2,1
115,117751,CA,2,5
116,117946,CA,2,1
117,118161,CA,9,3
118,118198,CA,6,3
119,118693,CA,2,1
120,118888,CA,2,5
121,119173,CA,2,1
122,119270,CA,3,2
123,119775,CA,3,3
124,120078,CA,6,3
125,120184,CA,2,1
126,120254,CA,2,1
127,120403,CA,2,5
128,120537,CA,2,1
129,120661,CA,6,3
130,120768,CA,2,3
131,120865,CA,2,1
132,120883,CA,2,1
133,121150,CA,2,1
134,121257,CA,2,3
135,121309,CA,2,1
136,121345,CA,2,1
137,121691,CA,2,1
138,122409,CA,1,1
139,122436,CA,2,1
140,122454,CA,2,3
141,122506,CA,2,3
142,122597,CA,1,1
143,122612,CA,2,1
144,122728,CA,2,1
145,122755,CA,1,1
146,122931,CA,2,1
147,123165,CA,2,1
148,123280,CA,2,2
149,123457,CA,2,1
150,123554,CA,2,1
151,123572,CA,1,1
152,123651,CA,2,1
153,123679,CA,6,3
154,123961,CA,2,1
155,124292,CA,2,1
156,124706,CA,6,3
157,124937,CA,6,3
158,125532,CA,6,3
159,125727,CA,2,1
160,125763,CA,2,5
161,125897,CA,2,5
162,126076,CA,2,3
163,126182,CO,1,1
164,126359,CO,6,3
165,126562,CO,1,1
166,126580,CO,1,1
167,126614,CO,1,1
168,126678,CO,2,2
169,126687,CO,6,3
170,126775,CO,1,1
171,126784,CO,6,3
172,126818,CO,1,1
173,127060,CO,2,1
174,127185,CO,1,1
175,127556,CO,1,1
176,127565,CO,1,1
177,127653,CO,2,3
178,127741,CO,1,1
179,127918,CO,2,1
180,127954,CO,2,3
181,128106,CO,1,1
182,128328,CO,1,1
183,128391,CO,1,1
184,128498,CT,2,5
185,128586,NY,2,3
186,128744,CT,2,1
187,128771,CT,1,1
188,128902,CT,2,5
189,129020,CT,1,1
190,129215,CT,1,2
191,129242,CT,2,3
192,129525,CT,2,5
193,129774,CT,2,3
194,129941,CT,2,1
195,130183,CT,3,2
196,130226,CT,2,5
197,130253,CT,2,3
198,130314,CT,2,5
199,130493,CT,1,1
200,130590,CT,2,5
201,130624,CT,1,5
202,130697,CT,2,2
203,130776,CT,1,2
204,130794,CT,2,1
205,130934,DE,1,1
206,130943,DE,1,1
207,130989,DE,2,2
208,131098,DE,2,1
209,131159,DC,2,5
210,131283,DC,2,3
211,131450,DC,2,1
212,131469,DC,2,5
213,131496,DC,2,1
214,131520,DC,2,1
215,131830,DC,5,3
216,131876,DC,2,2
217,132408,FL,2,1
218,132471,FL,2,1
219,132657,FL,2,5
220,132842,FL,2,3
221,132879,FL,2,1
222,132903,FL,1,1
223,133492,FL,2,1
224,133526,FL,2,1
225,133553,FL,2,5
226,133650,FL,1,1
227,133669,FL,1,1
228,133711,FL,2,5
229,133809,FL,2,1
230,133845,FL,6,3
231,133854,FL,6,3
232,133863,FL,6,3
233,133872,FL,2,1
234,133881,FL,2,1
235,133951,FL,1,1
236,133979,FL,2,2
237,134079,FL,2,1
238,134097,FL,1,1
239,134130,FL,1,1
240,134945,FL,2,5
241,135364,GA,2,3
242,135726,FL,2,1
243,136172,FL,1,1
244,136215,FL,2,1
245,136330,FL,2,1
246,136774,FL,2,3
247,136950,FL,2,2
248,137032,FL,2,5
249,137272,FL,2,3
250,137351,FL,1,1
251,137476,FL,2,1
252,137546,FL,2,2
253,137564,FL,2,5
254,137847,FL,2,1
255,137953,FL,2,1
256,137962,FL,2,1
257,138275,FL,2,5
258,138293,FL,2,1
259,138354,FL,1,1
260,138558,GA,1,1
261,138600,GA,2,2
262,138716,GA,1,1
263,138761,GA,2,1
264,138868,GA,2,5
265,138947,GA,2,1
266,139144,GA,2,1
267,139199,GA,2,5
268,139205,GA,2,5
269,139214,GA,6,3
270,139250,GA,1,1
271,139311,GA,1,2
272,139366,GA,1,1
273,139393,GA,2,1
274,139630,GA,2,1
275,139658,GA,2,1
276,139719,GA,1,1
277,139755,GA,1,1
278,139764,GA,1,1
279,139861,GA,1,1
280,139931,GA,1,1
281,139940,GA,1,1
282,139959,GA,1,1
283,139968,GA,1,1
284,140234,GA,2,1
285,140252,GA,2,1
286,140340,GA,2,2
287,140447,GA,2,1
288,140553,GA,2,1
289,140696,GA,2,1
290,140720,GA,2,1
291,140818,GA,2,1
292,140872,GA,2,1
293,140951,GA,2,1
294,140960,GA,1,1
295,140988,GA,2,1
296,141060,GA,2,1
297,141167,GA,2,2
298,141185,GA,2,1
299,141237,GA,2,1
300,141264,GA,1,1
301,141325,GA,2,1
302,141334,GA,1,1
303,141361,GA,2,1
304,141486,HI,2,1
305,141565,HI,1,1
306,141574,HI,1,1
307,141644,HI,2,1
308,141981,HI,1,5
309,142054,ID,6,3
310,142090,ID,2,1
311,142115,ID,1,1
312,142285,ID,1,1
313,142294,ID,2,2
314,142328,ID,1,1
315,142461,ID,2,1
316,142522,ID,2,1
317,143048,IL,2,1
318,143084,IL,2,2
319,143118,IL,2,1
320,143288,IL,2,1
