,required,recommended,neither,considered
AK,0.0,1.0,0.0,0.0
AL,8.0,2.0,0.0,1.0
AR,7.0,1.0,0.0,1.0
AZ,1.0,0.0,0.0,3.0
CA,44.0,4.0,16.0,7.0
CO,2.0,2.0,2.0,0.0
CT,3.0,1.0,3.0,6.0
DC,3.0,1.0,1.0,2.0
DE,1.0,1.0,0.0,0.0
FL,18.0,8.0,4.0,7.0
GA,21.0,3.0,2.0,3.0
GU,0.0,0.0,1.0,0.0
HI,3.0,0.0,1.0,0.0
IA,21.0,3.0,2.0,4.0
ID,4.0,1.0,0.0,0.0
IL,35.0,8.0,4.0,3.0
IN,23.0,1.0,3.0,4.0
KS,13.0,2.0,1.0,2.0
KY,15.0,1.0,0.0,2.0
LA,6.0,2.0,0.0,1.0
MA,25.0,5.0,17.0,11.0
MD,6.0,4.0,4.0,3.0
ME,2.0,1.0,3.0,4.0
MI,21.0,5.0,1.0,3.0
MN,21.0,3.0,2.0,0.0
MO,25.0,5.0,1.0,3.0
MS,5.0,2.0,0.0,0.0
MT,2.0,1.0,0.0,0.0
NC,27.0,6.0,2.0,5.0
ND,2.0,0.0,0.0,1.0
NE,12.0,1.0,1.0,0.0
NH,1.0,2.0,4.0,3.0
NJ,7.0,1.0,21.0,4.0
NM,0.0,1.0,0.0,1.0
NV,1.0,0.0,0.0,0.0
NY,41.0,11.0,58.0,18.0
OH,36.0,9.0,2.0,8.0
OK,9.0,1.0,0.0,0.0
OR,7.0,4.0,3.0,2.0
PA,49.0,15.0,9.0,11.0
PR,0.0,7.0,13.0,1.0
RI,2.0,3.0,2.0,1.0
SC,11.0,1.0,0.0,4.0
SD,5.0,0.0,0.0,0.0
TN,26.0,1.0,0.0,2.0
TX,33.0,2.0,1.0,3.0
UT,2.0,0.0,1.0,0.0
VA,21.0,2.0,2.0,2.0
VT,1.0,4.0,4.0,3.0
WA,7.0,1.0,2.0,2.0
WI,14.0,5.0,1.0,5.0
WV,8.0,0.0,0.0,0.0
