,required,recommended,neither,considered
AK,1.0,2.0,0.0,0.0
AL,13.0,0.0,0.0,0.0
AR,7.0,1.0,0.0,0.0
AZ,4.0,2.0,0.0,1.0
CA,26.0,6.0,0.0,0.0
CO,13.0,0.0,0.0,0.0
CT,7.0,2.0,0.0,1.0
DE,2.0,0.0,0.0,0.0
FL,15.0,0.0,0.0,0.0
GA,19.0,1.0,0.0,0.0
HI,2.0,0.0,0.0,1.0
IA,3.0,0.0,0.0,0.0
ID,3.0,0.0,0.0,0.0
IL,12.0,0.0,0.0,0.0
IN,12.0,1.0,0.0,0.0
KS,5.0,2.0,0.0,0.0
KY,8.0,0.0,0.0,0.0
LA,14.0,0.0,0.0,0.0
MA,7.0,1.0,1.0,4.0
MD,10.0,1.0,0.0,1.0
ME,4.0,1.0,1.0,0.0
MI,14.0,0.0,0.0,1.0
MN,11.0,1.0,0.0,0.0
MO,9.0,0.0,0.0,1.0
MS,8.0,0.0,0.0,0.0
MT,4.0,1.0,0.0,0.0
NC,17.0,0.0,0.0,0.0
ND,6.0,0.0,0.0,0.0
NE,3.0,0.0,0.0,0.0
NH,2.0,0.0,1.0,1.0
NJ,11.0,0.0,0.0,1.0
NM,4.0,1.0,0.0,0.0
NV,2.0,1.0,0.0,0.0
NY,32.0,1.0,2.0,2.0
OH,12.0,0.0,0.0,1.0
OK,8.0,0.0,0.0,1.0
OR,6.0,0.0,1.0,1.0
PA,38.0,0.0,1.0,1.0
PR,3.0,1.0,9.0,0.0
RI,2.0,0.0,0.0,0.0
SC,12.0,0.0,0.0,0.0
SD,6.0,0.0,0.0,0.0
TN,8.0,0.0,0.0,0.0
TX,31.0,1.0,0.0,2.0
UT,3.0,0.0,0.0,0.0
VA,12.0,1.0,0.0,2.0
VI,0.0,0.0,0.0,1.0
VT,2.0,1.0,0.0,1.0
WA,7.0,0.0,0.0,1.0
WI,15.0,0.0,0.0,0.0
WV,9.0,0.0,0.0,0.0
WY,1.0,0.0,0.0,0.0
