state,act_participation,sat_participation
AL,1.0,0.06
AK,0.33,0.43
AZ,0.66,0.29
AR,1.0,0.05
CA,0.27,0.6
CO,0.3,1.0
CT,0.26,1.0
DE,0.17,1.0
DC,0.32,0.92
FL,0.66,0.56
GA,0.53,0.7
HI,0.89,0.56
ID,0.36,1.0
IL,0.43,0.99
IN,0.32,0.63
IA,0.68,0.03
KS,0.71,0.04
KY,1.0,0.04
LA,1.0,0.04
ME,0.07,0.99
MD,0.31,0.76
MA,0.25,0.8
MI,0.22,1.0
MN,0.99,0.04
MS,1.0,0.03
MO,1.0,0.04
MT,1.0,0.1
NE,1.0,0.03
NV,1.0,0.23
NH,0.16,0.96
NJ,0.31,0.82
NM,0.67,0.16
NY,0.27,0.79
NC,1.0,0.52
ND,0.98,0.02
OH,1.0,0.18
OK,1.0,0.08
OR,0.42,0.48
PA,0.2,0.7
RI,0.15,0.97
SC,1.0,0.55
SD,0.77,0.03
TN,1.0,0.06
TX,0.45,0.66
UT,1.0,0.04
VT,0.24,0.64
VA,0.24,0.68
WA,0.24,0.69
WV,0.65,0.28
WI,1.0,0.03
WY,1.0,0.03
